Time,Engine RPM,Throttle Pos,Engine Temp,G Force Lat,G Force Long,G Force Vert,ADL Temp,5V Aux Supply,8V Aux Supply,Running Lap Time,Comms RS232 Diag,Bat Volts ADL,Lambda 1,Air Temp Inlet,Manifold Pres,Water Temp Post-Radiator,Fuel Actual PW,Fuel Inj Duty,Ign Advance,Brake Pressure Front,Brake Pressure Rear,G Force RSS,Fuel Base PW,Fuel AT Comp,Wheel Slip (Percent),Shock Pot Front Right,Shock Pot Front Left,Shock Pot Rear Left,Shock Pot Rear Right,Eng Oil Pres,Fuel Pres,Eng Oil Temp,Bat Volts ECU,Exhaust Temp,Susp Velocity FL,Susp Velocity FR,Susp Velocity RL,Susp Velocity RR,Drive Speed,Ground Speed,Odometer,Lap Number,Thr Pos Change,Oil Pressure Warning,Brake Temp Front,Brake Temp Rear,Calculated Gear Position,Steering Angle,Baro Pres,Fuel Temp,Pitot Tube 12.5mB,CAN 1 Bus Utilization,Air Temp Post-Radiator,Air Pressure Pre Radiator,Air Pressure Post Radiator,Water Pump Inlet Pressure,ECU Temp,Lap Distance,Bat Volts BR2,CAN 1 Transmit Error Count,CAN 0 Bus Utilization,PDM2 Errors,Pneumatic Line Pressure,Brake Bias Setting,Sync Rel Pos,Device Up Time,FAN2 Current,Water Temp Pre-Radiator,Water Pump Outlet Pressure,Wheel Speed FL,Wheel Speed FR,Wheel Speed RL,Wheel Speed RR,Radiator 1 Inlet Temp,Shifter Position,Clutch Position,Air Temp Pre-Radiator
0,3936,9.2,69,-0.18,0.36,-0.06,28.1,4.966,8.095,15.78,512,13.66,0.95,27.4,64.5,55.3,2.138,7,10,104.3,31.5,0.39,1.692,-1.4,-5.9,0.9441,0.8272,0.6965,1.0508,254,432.4,64.2,13.72,264,-264.7,-117.8,720.1,948.1,22.9,24.3,112137.8,0,-194,0,143,127,1,18,98,55.3,-140,6.3,48.9,0.5,96.6,-12.33,47.7,214,13.71,1,8.3,8,106.98,68.5,14.7,126.011,0.1,57,2.07,39.1,37.3,38,36.8,64.7,1491.9,-2670.6,31.6
0.5,3732,8.9,69.1,-0.56,0.12,0,28.1,4.966,8.095,16.78,512,13.68,0.95,27.3,65.5,55.3,2.128,7.3,10,41.2,64.5,0.57,1.688,-1.4,-15.3,1.1091,0.8366,0.5772,1.0898,253.7,431.8,64.3,13.75,266,243.6,-557.3,822,313.6,21.5,25.4,112137.8,0,-1413,0,136,115,1,74.2,98,55.3,-140,6.3,48.9,0.5,96.7,-12.34,47.7,219,13.71,1,8.3,8,106.96,77.2,16.4,127.011,0.1,57.1,2.06,40.9,35.1,40.1,34.6,64.7,1485.8,-2661.4,31.5
1,3873,15.9,69.2,-0.2,-0.19,-0.02,28.1,4.966,8.095,16.78,512,13.67,0.95,27.3,72.7,55.4,2.72,9.8,22.5,64.5,19.1,0.27,2.312,-1.4,-6.9,1.0724,0.9398,0.5638,0.8803,241.4,437.3,64.4,13.71,268,-781.2,-980.6,1576,1961.5,22,23.6,112137.8,0,-3222,0,150,118,1,43.2,98,55.3,-140,6.3,49,0.5,96.6,-12.32,47.7,225,13.7,1,8.3,8,106.95,62.9,16.8,127.011,0.1,57.1,2.12,38,33.9,37.4,35.4,64.7,1485.8,-2709.5,31.5
1.5,3405,8.3,69.2,-0.42,0.19,-0.01,28.1,4.966,8.095,17.78,512,13.66,0.95,27.3,65.2,55.4,2.124,6.1,10,74.1,31.5,0.45,1.684,-1.4,-13.5,1.0126,0.8138,0.6693,1.1209,227.1,434.3,64.4,13.72,268.1,-309.7,351.4,19.7,286.7,18.3,21.1,112137.8,0,-50,0,136,118,1,68.1,98,55.3,-140,6.3,49,0.5,96.6,-12.32,47.7,230,13.7,1,8.3,8,106.98,54.2,15,128.011,0.1,57.1,2.09,34,29.4,33.5,29.4,64.7,1485.8,-2661.4,31.5
2,2874,14.8,69.3,-0.3,0.2,-0.01,28.1,4.966,8.095,17.78,512,13.66,0.95,27.2,75.6,55.4,2.97,6.3,17.8,82.4,50.7,0.36,2.558,-1.4,-20.1,1.0409,0.8606,0.672,1.1012,197.1,436.1,64.4,13.73,270,47.2,-21.4,-6.1,0,14.3,17.9,112137.8,0,1139,0,150,129,1,105,98,55.4,-140,6.3,49.1,0.5,96.6,-12.32,47.8,234,13.72,1,8.2,8,106.98,65.4,15,128.011,0.1,57.1,2.08,28.8,23.5,27.8,23,64.8,1485.8,-2676.7,31.5
2.5,2553,10.8,69.4,-0.34,0.13,-0.04,28.1,4.966,8.095,18.78,512,13.67,0.95,27.2,76.9,55.4,2.382,5.3,10.8,49.4,63.1,0.36,1.952,-1.4,-21.7,1.0701,0.8917,0.6008,1.0787,186.7,437.7,64.5,13.71,268.8,-230,-154.2,312.8,498.1,14.3,18.3,112137.8,0,-364,0,150,125,1,105,98,55.4,-140,6.3,49.1,0.5,96.6,-12.32,47.8,238,13.73,1,8.2,8,106.97,74.1,15.7,129.011,0.1,57.1,2.09,29.4,23.9,28.2,23,64.8,1481.6,-2667.5,31.5
3,2493,15.9,69.5,-0.22,-0.23,0,28.1,4.966,8.095,18.78,512,13.67,0.95,27.2,80.1,55.4,3.468,7.3,17.1,64.5,17.8,0.31,3.084,-1.4,-8.8,1.1342,0.9709,0.5091,0.8524,179.2,434.6,64.5,13.73,268,695.1,786.2,-1685.4,-1836.8,14.1,15.4,112137.8,0,502,0,140,108,1,105.2,98,55.4,-140,6.3,49.2,0.5,96.6,-12.32,47.8,242,13.71,1,8.3,8,106.95,74,15.9,129.011,0.1,57.1,2.11,24.9,20.7,24.9,22.6,64.9,1465.3,-2829.3,31.6
3.5,2571,12.8,69.6,-0.29,-0.01,-0.01,28.1,4.966,8.095,19.78,512,13.68,0.95,27.2,78.9,55.4,2.896,6.5,12.9,30.2,34.3,0.29,2.49,-1.4,-20.1,1.0713,0.9331,0.5394,1.0134,177.2,437.2,64.6,13.74,266,187.5,11.4,-85.3,-43.9,13.7,17.1,112137.8,0,-324,0,129,108,1,105.2,98,55.4,-140,6.3,49.3,0.5,96.7,-12.32,47.8,246,13.71,1,8.3,8,106.98,75.1,15.5,130.011,0.1,57.1,2.1,27.6,22.3,26.6,22,64.9,1485.8,-2690,31.7
4,2847,25,69.6,-0.24,-0.24,-0.01,28.1,4.966,8.095,19.78,512,13.68,0.95,27.2,85.2,55.4,3.86,8.1,34.8,56.2,38.4,0.32,3.492,-1.4,-8.8,1.076,0.9457,0.5268,0.9429,172.1,437.1,64.7,13.73,264,453.1,264.2,-773.1,-1097.3,14.1,15.5,112137.9,0,2630,0,136,131,1,105.2,98,55.4,-140,6.3,49.4,0.5,96.6,-12.32,47.8,249,13.75,1,8.3,8,106.98,80.3,15.4,130.011,0.1,57.1,2.09,25,20.2,24.6,22.8,64.9,1485.8,-2746.3,31.8
4.5,2973,12.7,69.7,0.08,0.03,-0.03,28.1,4.966,8.095,20.78,512,13.69,0.95,27.2,77.9,55.4,2.56,6.4,14.9,42.6,63.1,0.1,2.144,-1.4,-1.8,0.952,0.9268,0.7224,0.9567,189.7,437.2,64.7,13.75,264,-113.9,75.6,-95.8,32.5,16.9,17.2,112137.9,0,-238,0,145,131,1,-10.6,98,55.4,-140,6.3,49.4,0.5,96.6,-12.32,47.8,253,13.77,1,8.3,8,106.98,80.2,15.5,131.011,0.1,57.1,2.09,27.3,27.7,27.2,27.6,64.9,1485.8,-2661.4,31.8
5,3519,35.2,69.7,0.12,-0.5,0.07,28.2,4.966,8.095,20.78,512,13.66,0.95,27.2,88.6,55.4,4.622,12.9,35,48,60.3,0.52,4.282,-1.4,1,1.0681,1.0016,0.5547,0.7614,203.7,435.3,64.7,13.74,263.3,-200.6,-303.9,459.2,177.5,20.3,20.1,112137.9,0,-362,0,151,122,1,-22.3,98,55.4,-140,6.3,49.5,0.5,96.6,-12.32,47.8,257,13.73,1,8.2,8,106.95,61.2,18.1,131.011,0.1,57.1,2.1,31.3,32.3,33.4,32.8,65,1491.9,-2900.9,31.9
5.5,4659,32.3,69.8,-0.04,-0.33,-0.01,28.2,4.966,8.095,21.78,512,13.68,0.95,27.2,78.9,55.4,3.844,14.3,35,60.3,13.6,0.35,3.474,-1.4,0.6,1.0874,0.9594,0.5154,0.7917,259.5,432.6,64.8,13.71,265.8,230.3,225.9,326.1,-164.2,26.7,26.5,112137.9,0,-101,0,135,115,1,5.5,98,55.4,-140,6.3,49.5,0.5,96.6,-12.32,47.8,262,13.7,1,8.2,8,106.99,46.4,17.6,132.011,0.1,57.1,2.07,42.6,41.4,43.2,43.1,65,1515.4,-2684.9,31.9
6,4785,8.3,69.8,-0.16,0.13,0.01,28.2,4.966,8.095,21.78,512,13.69,0.95,27.2,52.6,55.4,1.838,7.4,15.9,94.8,46.6,0.2,1.4,-1.4,-3.2,1.0134,0.8791,0.6287,0.9949,299.7,435.5,64.8,13.72,269.6,1111.8,842.3,268.1,777.6,29,30,112137.9,0,-472,0,138,112,1,15.7,98,55.4,-140,6.3,49.6,0.5,96.7,-12.32,47.8,269,13.69,1,8.3,8,106.98,46.9,19.1,132.011,0.1,57.1,2.06,48.2,46.4,48.1,46.6,65.1,1559.5,-2640.9,32
6.5,4386,8.4,69.9,-0.02,0.4,-0.05,28.2,4.966,8.095,22.78,512,13.68,0.95,27.2,51.9,55.4,1.988,7.2,13.8,269.2,179.9,0.41,1.558,-1.4,-1.1,0.9236,0.8315,0.7898,1.0697,284.3,433.3,64.8,13.75,270.7,19.7,400.9,924.8,968.4,24.5,24.8,112137.9,0,0,0,143,111,1,-1.1,98,55.4,-140,6.3,49.7,0.5,96.6,-12.32,47.8,275,13.69,1,8.3,8,106.99,51,17.6,133.011,0.1,57.1,2.08,39.8,39.7,39.8,39.4,65.1,1531.9,-2657.2,32
7,3171,8.3,70,-0.44,0.13,-0.04,28.2,4.966,8.095,22.78,512,13.69,0.95,27.1,63.9,55.4,2.128,5.7,10,31.5,48,0.46,1.698,-1.4,-12.1,1.0047,0.8146,0.6264,1.0618,229.3,433.9,64.8,13.71,270.8,-133.1,304.7,-218.4,595.9,18.7,21.3,112137.9,0,0,0,142,132,1,54.6,98,55.4,-140,6.3,49.8,0.5,96.7,-12.32,47.8,280,13.72,1,8.3,8,106.98,67.9,16.2,133.011,0.1,57.1,2.1,34.3,30,33.3,30.1,65.2,1485.8,-2686,32.1
7.5,3399,19.6,70,-0.32,-0.17,0.01,28.2,4.966,8.095,23.78,512,13.67,0.95,27,76,55.4,3.032,8.6,28,30.2,35.7,0.37,2.64,-1.4,-11.5,1.1181,0.9047,0.5346,0.8843,217.1,435,64.8,13.75,270,-255.6,-453.1,621.7,792,18.8,21.2,112137.9,0,-571,0,134,121,1,66.2,98,55.4,-140,6.3,49.8,0.5,96.6,-12.32,47.8,285,13.74,1,8.3,8,106.98,78.9,15.7,134.011,0.1,57.1,2.13,34.1,29.6,33.6,30.2,65.2,1485.8,-2696.2,32.1
8,3657,18.1,70.1,-0.39,-0.02,-0.06,28.2,4.966,8.095,23.78,512,13.7,0.95,27,74.1,55.4,2.884,8.6,26.4,52.1,57.6,0.39,2.486,-1.4,-14.8,1.0874,0.8835,0.5268,1.035,222.6,433.9,64.8,13.75,270,-100,-154.7,185.8,304.2,19.5,22.9,112137.9,0,-45,0,152,113,1,76,98,55.4,-140,6.3,49.9,0.5,96.6,-12.32,47.9,290,13.72,1,8.2,8,106.99,68.7,13.8,134.011,0.1,57.1,2.09,36.9,31.2,35.9,31.4,65.3,1485.8,-2661.4,32
8.5,4143,24.4,70.2,-0.47,-0.21,-0.03,28.2,4.966,8.095,24.78,512,13.68,0.95,27.1,77.2,55.4,3.208,11.3,34.9,45.2,16.4,0.51,2.822,-1.4,-9.5,1.1154,0.8874,0.4886,0.9307,243.3,432.2,64.8,13.74,271.7,104.2,-56.9,-427.8,123.9,22.8,25.2,112137.9,0,-866,0,136,127,1,64.6,98,55.4,-140,6.3,50,0.5,96.6,-12.32,47.9,295,13.7,1,8.2,8,106.98,61.5,15.9,135.011,0.1,57.1,2.1,40.5,35.3,40.2,36.7,65.3,1555.4,-2766.8,31.9
9,4278,22.8,70.3,-0.62,0,0.01,28.2,4.966,8.095,24.78,512,13.69,0.95,27.1,72.3,55.4,2.998,10.8,35,54.8,64.5,0.63,2.6,-1.4,-14.6,1.1181,0.8378,0.5213,1.0413,261.3,434.2,64.9,13.71,273.8,32.8,88.9,52.8,80.3,23.2,27.2,112137.9,0,-405,0,139,128,1,77.8,98,55.4,-140,6.3,50.1,0.5,96.6,-12.32,48,301,13.71,1,8.3,8,106.98,64.7,16.1,135.011,0.1,57.1,2.09,43.7,36.6,42.4,37.3,65.4,1501.1,-2781.2,31.9
9.5,4395,20,70.3,-0.2,-0.04,-0.04,28.2,4.966,8.095,25.78,512,13.69,0.95,27.1,67.9,55.4,2.81,10.2,35,42.6,38.4,0.19,2.408,-1.4,-7.4,1.0496,0.9157,0.5417,0.9614,266.8,434.2,64.9,13.74,274,520.9,-357.8,319.2,-730.9,24.5,26.5,112137.9,0,-85,0,140,125,1,40.3,98,55.4,-140,6.3,50.1,0.5,96.7,-12.32,48,306,13.7,1,8.3,8,106.96,65,15.4,136.011,0.1,57.1,2.09,42.7,39,42.2,39.5,65.4,1545.1,-2684.9,31.9
10,4710,19.3,70.4,0.24,-0.16,-0.05,28.2,4.966,8.095,25.78,512,13.69,0.95,27,62.6,55.4,2.714,10.4,33.8,37,41.2,0.26,2.308,-1.4,-5.2,0.9602,0.9539,0.7008,0.8413,284,433.9,64.8,13.74,276,-771.5,56.9,5,904.8,26.3,27.7,112137.9,0,-144,0,147,118,1,-31.8,98,55.4,-140,6.3,50.2,0.5,96.6,-12.34,48,313,13.67,1,8.3,8,106.98,54.9,17.5,136.011,0.1,57.2,2.09,42.4,44.6,42.3,44.4,65.5,1564.6,-2673.7,32
10.5,4326,10.9,70.4,0.61,0.16,-0.07,28.2,4.966,8.095,26.78,512,13.68,0.95,27,56.5,55.4,2.126,7.6,15,64.5,30.2,0.62,1.7,-1.4,-15.4,0.8799,1,0.8402,0.8606,283.9,427.9,64.8,13.74,276,-38.3,-30,-193.9,296.1,23.8,28.1,112137.9,0,-259,0,153,112,1,-73.6,98,55.4,-140,6.3,50.3,0.5,96.6,-12.32,48,319,13.66,1,8.3,8,106.99,49.2,16.9,137.011,0.1,57.2,2.09,39.2,45.2,38.2,44.1,65.5,1510.4,-2694.1,32
11,4341,18,70.4,-0.02,-0.21,0.05,28.2,4.966,8.095,26.78,512,13.67,0.95,26.9,66,55.4,2.706,9.8,30.3,49.4,31.5,0.21,2.3,-1.3,-0.3,0.9654,0.8618,0.6894,1.0024,272.4,430.1,64.8,13.76,276.2,-1294.8,-571.2,1093.7,2211.3,25.2,25.3,112137.9,0,-887,0,139,127,1,-14.4,98,55.4,-140,6.3,50.4,0.5,96.6,-12.32,48,325,13.7,1,8.2,8,106.98,59,17.8,137.011,0.1,57.2,2.1,40,40.8,40.6,41.2,65.6,1485.8,-2686.9,31.9
11.5,4149,14.6,70.4,-0.63,0.12,0.01,28.2,4.966,8.095,27.78,512,13.68,0.95,26.9,62.3,55.4,2.524,8.9,21.2,83.7,90.6,0.63,2.112,-1.3,-13.9,1.1142,0.7992,0.5831,1.1154,268.2,431.7,64.8,13.77,277.4,199.7,515.9,504.2,898.7,22.8,26.5,112137.9,0,-108,0,140,129,1,70,98,55.4,-140,6.3,50.4,0.5,96.7,-12.32,48,330,13.75,1,8.2,8,106.95,66.8,13.2,138.011,0.1,57.2,2.06,42.6,36.3,41.8,36.6,65.6,1500.1,-2759.6,31.9
12,4521,36.1,70.5,-0.32,-0.35,-0.03,28.2,4.966,8.095,27.78,512,13.68,0.95,26.9,81.9,55.4,4.266,15.9,35,32.9,41.2,0.44,3.91,-1.3,-4.1,1.098,0.9299,0.4492,0.8531,260.8,436.3,64.9,13.72,278,597,96.4,-990.1,-1654.9,25.5,26.6,112137.9,0,-106,0,144,119,1,51.1,98,55.4,-140,6.3,50.4,0.5,96.7,-12.32,48.1,336,13.77,1,8.3,8,106.98,67.9,16.8,138.011,0.1,57.3,2.08,42.9,38.2,42.4,41.7,65.7,1522.6,-2812.9,31.9
12.5,5721,35.5,70.5,0.17,-0.31,0.07,28.2,4.966,8.095,28.78,512,13.65,0.95,26.9,76,55.4,4.202,18.7,35,32.9,45.3,0.38,3.846,-1.4,-5.1,1.0114,1.0323,0.6272,0.7535,309.2,430.8,64.8,13.72,282.2,295.6,937.3,-922.9,163.3,30.4,32,112137.9,0,90,0,145,122,1,-29.9,98,55.4,-140,6.3,50.4,0.5,96.6,-12.32,48.1,343,13.78,1,8.3,8,106.98,69.5,17.4,139.011,0.1,57.3,2.07,49.1,51.6,48.9,51.8,65.7,1601.5,-2744.3,31.9
13,7044,87.7,70.4,0.31,-0.74,0.14,28.2,4.966,8.095,28.78,512,13.62,0.95,27,95.5,55.4,7.06,38,35,42.6,37,0.82,6.804,-1.4,3.7,1.0496,1.0835,0.4323,0.5295,385.1,426.5,64.8,13.69,289.2,-16.1,1036.5,-1421.2,-614.2,40.3,38.9,112138,0,8143,0,148,119,1,-27,98,55.4,-140,6.3,50.4,0.5,96.6,-12.32,48,351,13.72,1,8.3,8,106.98,72.6,10.8,139.011,0.1,57.4,2.05,59.7,62.6,66.7,64.9,65.8,1737.6,-2994.2,31.8
13.5,9027,100,70.4,0,-0.63,0.63,28.2,4.966,8.095,29.78,512,13.32,0.95,27,95,55.4,7.554,55.3,35,50.7,34.3,0.62,7.3,-1.4,1.9,1.0776,0.9992,0.3559,0.6217,465.2,425.4,64.9,13.52,305.6,100.3,-188.6,362,-482.8,51.7,50.7,112138,0,76,0,148,123,1,-6.6,98,55.4,-140,6.3,50.3,0.5,96.6,-12.32,48,321,13.63,1,8.3,8,106.97,72.8,13.7,140.011,0.1,57.4,1.96,81.5,81.1,83.5,84.2,65.9,1707.9,1626.6,31.8
14,9843,12.9,70.4,-0.08,0.39,0.18,28.2,4.966,8.095,29.78,512,13.21,0.95,27.1,38.1,55.4,2.398,29.1,35,375,363.9,0.42,1.94,-1.4,-3.9,0.7583,0.5988,0.7689,1.1256,497.4,424.8,64.8,13.22,332.9,-2693,-2638,3823.1,4472.6,57.2,59.5,112138,0,-9202,0,151,124,1,-1.9,98,55.4,-140,6.3,50.1,0.5,96.6,-12.34,48,151,13.42,1,8.2,8,106.95,62.6,22.8,140.011,0.1,57.5,1.96,95.8,94.3,93.5,92,66,1717.2,1362.9,31.7
14.5,7473,8.2,70.4,-0.07,1.12,-0.02,28.2,4.966,8.095,0.75,512,13.57,0.95,27,30.4,55.4,1.6,10.2,35,646.9,564.5,1.14,1.126,-1.4,-7.6,0.7732,0.678,0.8567,1.1508,483.2,427.7,64.9,13.38,339.5,33.3,403.6,293.9,132.2,41.5,44.9,112138,1,-43,0,163,138,1,-0.9,98,55.4,-140,6.3,49.8,0.5,96.6,-12.32,48,21,13.29,1,8.2,8,106.98,54.7,8.6,141.011,0.1,57.6,1.92,72.3,71.3,68.1,67.7,66,1666,-3121.1,31.7
15,7146,9.5,70.4,-0.58,0.24,-0.05,28.2,4.966,8.095,0.75,512,13.54,0.95,26.7,44.1,55.4,1.64,10.7,35,200.5,126.3,0.65,1.176,-1.3,-4.4,0.9858,0.7083,0.5874,1.1457,453.2,429.1,64.9,13.51,340.4,573.1,963.7,-765.6,-255.6,41.7,43.6,112138,1,-1969,0,166,142,1,22.2,98,55.4,-140,6.3,49.5,0.5,96.6,-12.34,48,31,13.47,1,8.3,8,106.98,55,10,141.011,0.1,57.7,1.93,70.2,65.4,69.4,67,66.1,1711,3044.3,31.5
15.5,6345,8.4,70.3,-0.72,0.34,-0.16,28.2,4.966,8.095,1.75,512,13.58,0.95,26.5,44.6,55.4,1.788,9.5,32.7,115.3,57.6,0.78,1.336,-1.2,-11.3,1.0185,0.6567,0.6354,1.2492,407.6,430.4,64.9,13.6,339.4,-954.8,-140,-215.6,128.6,35,39.4,112138,1,-25,0,167,145,1,37.4,98,55.4,-140,6.3,49.3,0.5,96.6,-12.33,48,40,13.61,1,8.3,8,106.98,56.1,13.9,142.011,0.1,57.7,1.99,63.4,56.5,61.6,56.2,66.1,1711,2828.9,31.4
16,5817,38.3,70.2,-0.77,0.15,-0.02,28.2,4.966,8.095,1.75,512,13.6,0.95,26.4,68.8,55.5,4.286,14,35,49.4,27.4,0.8,3.918,-1.2,-9.7,1.0453,0.7543,0.5461,1.224,363.2,434.3,64.9,13.61,334.3,-256.4,-160.3,18.6,-9.2,31.3,34.7,112138,1,9349,0,169,145,1,50.4,98,55.4,-140,6.3,49.2,0.5,96.6,-12.32,48.1,48,13.63,1,8.3,8,106.98,60.1,10.8,142.011,0.1,57.8,2,55.8,49.7,54.9,50.4,66.2,1755.1,2889.1,31.4
16.5,5427,13.1,70.1,-0.85,0.24,0.04,28.2,4.966,8.095,2.75,512,13.62,0.95,26.4,50.9,55.6,1.868,8.9,26.2,65.8,39.8,0.87,1.424,-1.3,-12.9,1.0976,0.7413,0.6421,1.2,355,433.9,65,13.62,332.5,108.9,-348.6,125.6,796.7,31.4,36,112138,1,1766,0,168,142,1,53.7,98,55.4,-140,6.3,49.1,0.5,96.7,-12.32,48.1,56,13.64,1,8.3,8,107.01,64.6,12.3,143.011,0.1,57.9,2,58,50.5,55.9,50.5,66.2,1778.6,3020.8,31.4
17,5676,17.2,70,-0.78,0.11,-0.03,28.2,4.966,8.095,2.75,512,13.65,0.95,26.5,54.4,55.7,2.238,10.6,32.9,42.6,27.4,0.78,1.808,-1.3,-10.4,1.1016,0.7756,0.576,1.1114,346.7,432.8,65,13.66,332.4,675.1,198.1,86.7,-153.1,31.1,34.8,112138,1,-209,0,165,137,1,53.8,98,55.5,-140,6.3,49.1,0.5,96.6,-12.32,48.1,64,13.63,1,8.2,8,106.98,70.8,10.6,143.011,0.1,58,2.02,56,50,55,50.1,66.2,1806.3,2917.3,31.3
17.5,5526,10.4,69.9,-1.01,0.17,-0.07,28.2,4.966,8.095,3.75,512,13.66,0.95,26.6,52.2,55.8,1.862,9.1,21.2,79.6,37,0.99,1.42,-1.3,-11.3,1.1307,0.7417,0.4846,1.1449,353.5,434.3,65.2,13.67,332.4,-265.6,-180.8,258.1,101.1,31.6,35.6,112138,1,-1364,0,162,140,1,72.1,98,55.6,-140,6.3,49.1,0.5,96.6,-12.32,48.1,72,13.64,1,8.2,8,106.98,75.5,12.2,144.011,0.1,58.1,2.02,57.3,49.3,56.6,50.8,66.2,1809.3,2954.2,31.3
18,5787,27.1,69.8,-0.75,-0.1,-0.01,28.3,4.966,8.095,3.75,512,13.67,0.95,26.7,64.8,55.9,3.378,16.2,35,46.7,17.8,0.75,2.99,-1.3,-1,1.1449,0.8476,0.4496,1.087,344.5,432.5,65.3,13.71,330.2,-713.9,-241.4,1022.9,1149,33.5,33.8,112138,1,-608,0,162,146,1,57.3,98,55.8,-140,6.3,49.2,0.5,96.6,-12.32,48.1,79,13.68,1,8.3,8,106.98,74.5,13.1,144.011,0.1,58.2,2.05,54.4,48.1,54,53.9,66.2,1842.1,2363.5,31.1
18.5,5757,26.2,69.8,-0.68,-0.1,-0.02,28.3,4.966,8.095,4.75,512,13.68,0.95,26.7,61.4,56.1,3.268,13.7,35,31.5,42.5,0.68,2.878,-1.3,-8.8,1.1035,0.8,0.5669,1.0827,345.5,434.7,65.4,13.73,330.2,-235.6,142.2,-53.6,413.4,31.7,34.7,112138,1,2005,0,167,141,1,51.6,98,55.9,-140,6.3,49.2,0.5,96.6,-12.32,48.1,87,13.72,1,8.3,8,106.98,73.5,17,145.011,0.1,58.3,2.03,55.9,49.4,54.9,51,66.2,1792,2916.3,31
19,6798,50.2,69.7,-0.76,-0.41,0.02,28.3,4.966,8.095,4.75,512,13.64,0.95,26.8,82.2,56.2,5.274,29,35,52.1,46.7,0.87,4.95,-1.3,0,1.2303,0.8862,0.3406,0.9437,383.1,433.5,65.4,13.69,332.3,210.9,728.4,-62.8,-56.1,39,39,112138.1,1,506,0,167,139,1,48.8,98,56,-140,6.3,49.2,0.5,96.7,-12.32,48.1,95,13.71,1,8.3,8,106.98,72,11.1,145.011,0.1,58.4,2.03,62.8,54.6,63.1,63.5,66.2,1843.2,2504.6,31
19.5,7032,8.4,69.7,-0.47,0.16,-0.08,28.3,4.966,8.095,5.75,512,13.67,0.95,26.9,44.2,56.3,1.652,9.7,35,159.3,90.6,0.51,1.202,-1.3,-5.3,1.0437,0.7646,0.6374,1.0453,429.6,435,65.6,13.67,337.2,-902,620,-149.5,685.9,40.4,42.7,112138.1,1,-540,0,163,142,1,22.2,98,56.1,-140,6.3,49.2,0.5,96.6,-12.34,48.1,104,13.71,1,8.3,8,106.98,71.9,13.6,146.011,0.1,58.4,1.97,68.8,63.2,67.2,65,66.2,1792.9,3000.3,31
20,5688,8.3,69.7,0.24,0.45,-0.04,28.3,4.966,8.095,5.75,512,13.68,0.95,26.9,45,56.4,1.888,9,23.1,203.3,134.5,0.49,1.446,-1.3,-3.5,0.8394,0.8697,0.8311,1.0339,374.7,429.6,65.7,13.72,337.2,347,150.8,-242.2,-449.5,32,33.1,112138.1,1,-9,0,171,140,1,-14.1,98,56.2,-140,6.3,49.2,0.5,96.6,-12.32,48.1,112,13.73,1,8.2,8,106.99,76.8,19.7,146.011,0.1,58.5,2.03,52.3,53.3,51.4,53.2,66.1,1855.4,3033.1,31
20.5,5127,21.3,69.7,0.29,0.06,-0.1,28.3,4.966,8.095,6.75,512,13.69,0.95,26.8,53.5,56.4,2.736,9.1,35,27.4,39.8,0.29,2.328,-1.3,-4.9,0.8634,0.8791,0.7488,0.965,311,432.5,65.8,13.76,333.3,-931.5,-265,6.4,-83.6,28.1,29.6,112138.1,1,3949,0,170,150,1,-27.6,98,56.3,-140,6.3,49.2,0.5,96.6,-12.32,48.1,120,13.75,1,8.2,8,106.95,78.5,17.4,147.011,0.1,58.6,2.06,45.8,47.6,45.3,47.1,66.1,1785.8,2908.1,31
21,4788,9.2,69.7,0.71,0.47,-0.04,28.3,4.966,8.095,6.75,512,13.69,0.95,26.7,51.2,56.6,1.87,7.3,16,63.1,30.2,0.84,1.434,-1.3,-12.1,0.8402,1.026,0.9028,0.887,298.8,431.3,66,13.76,332.5,-105.6,-359.8,335.6,1279.8,27,30.8,112138.1,1,-277,0,164,152,1,-63.6,98,56.4,-140,6.3,49.3,0.5,96.6,-12.32,48.1,127,13.75,1,8.3,8,106.99,68.7,19.9,147.011,0.1,58.7,2.06,44.8,49.5,43.5,48.5,66.1,1820.6,2885.6,31
21.5,5013,25.9,69.7,0.48,-0.23,0,28.3,4.966,8.095,7.75,512,13.7,0.95,26.7,67.1,56.7,3.262,13.3,35,42.6,31.5,0.53,2.872,-1.3,-9,0.9323,1.0366,0.7413,0.7732,296.6,429.4,66.1,13.74,330.2,-1124.3,-1140.6,1074.3,966.5,27.4,30.1,112138.1,1,-335,0,168,153,1,-57.3,98,56.5,-140,6.3,49.4,0.5,96.6,-12.32,48.1,134,13.75,1,8.3,8,106.98,61.2,19,148.011,0.1,58.7,2.09,43.8,48.4,44.1,48.4,66.1,1821.6,2991,31
22,5415,12.9,69.7,-0.36,0.02,-0.09,28.3,4.966,8.095,7.75,512,13.71,0.95,26.7,57.5,56.8,1.998,10.8,25.6,67.3,50.8,0.34,1.566,-1.3,-3.8,1.0787,0.8524,0.5028,0.9343,326.9,431.3,66.1,13.79,330.2,-35.8,261.7,604.8,885.9,31.8,33.1,112138.1,1,-2974,0,164,147,1,21,98,56.6,-140,6.3,49.5,0.5,96.7,-12.33,48.1,141,13.74,1,8.3,8,106.98,61.7,12.5,148.011,0.1,58.8,2.07,53.3,50.5,53.1,51.2,66.1,1973.2,2980.8,31
